"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.538752525E0,-1.069500074E-1,2.389500141E-1,9.919950485E0,9.923404307E0
1.543754602E0,-9.105000645E-2,2.149500102E-1,9.927000046E0,9.929744383E0
1.548756448E0,-1.069500074E-1,2.250000089E-1,9.939000130E0,9.942121850E0
1.553758362E0,-9.300000221E-2,2.200500071E-1,9.928950310E0,9.931823864E0
1.558760439E0,-1.120500043E-1,2.200500071E-1,9.928950310E0,9.932020513E0
1.563762597E0,-1.050000042E-1,2.509500086E-1,9.915000916E0,9.918731979E0
1.568764827E0,-1.140000075E-1,2.320500165E-1,9.910050392E0,9.913422315E0
1.573767193E0,-1.219500080E-1,2.290500104E-1,9.907950401E0,9.911347883E0
1.578769116E0,-1.020000055E-1,2.149500102E-1,9.931950569E0,9.934799928E0
1.583771179E0,-1.120500043E-1,2.100000083E-1,9.915000916E0,9.917857549E0
1.588773333E0,-1.140000075E-1,2.220000178E-1,9.915000916E0,9.918141114E0
