"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.346188856E0,-5.526999943E-3,1.328099985E-2,1.640769988E-1,1.647063879E-1
1.351174472E0,-1.908599958E-2,-3.659999929E-4,1.368360072E-1,1.381611458E-1
1.356160549E0,8.121999912E-3,1.321899984E-2,1.368360072E-1,1.377127507E-1
1.361146087E0,7.524999790E-3,-4.370000097E-4,1.368310004E-1,1.370384591E-1
1.366131933E0,7.470999844E-3,-3.319999960E-4,1.232120022E-1,1.234387441E-1
1.371117780E0,7.575000171E-3,-3.520000027E-4,9.597100317E-2,9.627013027E-2
1.376103650E0,-6.023999769E-3,1.323799975E-2,1.095919982E-1,1.105528800E-1
1.381089265E0,1.974299923E-2,-1.310599968E-2,8.234799653E-2,8.568982308E-2
1.386075111E0,3.313500062E-2,-1.304200012E-2,5.510500073E-2,6.560932204E-2
1.391060957E0,1.940900087E-2,-1.296699978E-2,6.872600317E-2,7.258178773E-2
1.396046804E0,3.303499892E-2,6.779999821E-4,5.510500073E-2,6.425209680E-2
1.401032564E0,1.825400069E-2,-1.212400012E-2,2.786399983E-2,3.544858822E-2
1.406018410E0,1.824099943E-2,1.549000037E-3,5.510399863E-2,5.806534359E-2
1.411004025E0,3.186900169E-2,1.526999986E-3,9.596499801E-2,1.011298464E-1
1.415989872E0,4.540500045E-2,1.545000006E-3,8.234400302E-2,9.404539289E-2
1.420975718E0,4.236700013E-2,1.454000012E-3,9.594099969E-2,1.048892379E-1
1.425961564E0,1.482999977E-2,1.511999988E-3,4.145799950E-2,4.405656318E-2
1.430947337E0,1.475699991E-2,-2.579700015E-2,2.783700079E-2,4.072042333E-2
1.435933183E0,1.475800015E-2,-1.221300010E-2,2.783700079E-2,3.379133843E-2
1.440919024E0,1.370999962E-2,1.325999969E-3,8.231099695E-2,8.345551261E-2
1.445904640E0,2.723300084E-2,-1.233099960E-2,8.230900019E-2,8.756975162E-2
1.450890405E0,-1.358299982E-2,-2.598300017E-2,6.868900359E-2,7.468462623E-2
